date,index,targetAt,originalRaw,currentCloseRaw,finalRaw,originalEffective,currentCloseEffective,finalEffective,spy_referencePrice,spy_currentClose,spy_priorAtr14Pct,spy_downsideExcursionPct,spy_acuteCloseDownsidePct,spy_acuteCloseDownsideAtrRatio,spy_shockAtrRatio,spy_realizedMovement60AtrRatio,spy_sessionDrawdownPct,spy_sessionDrawdownAtrRatio,spy_openToCurrentPct,rsp_referencePrice,rsp_currentClose,rsp_priorAtr14Pct,rsp_downsideExcursionPct,rsp_acuteCloseDownsidePct,rsp_acuteCloseDownsideAtrRatio,rsp_shockAtrRatio,rsp_realizedMovement60AtrRatio,rsp_sessionDrawdownPct,rsp_sessionDrawdownAtrRatio,rsp_openToCurrentPct
2022-05-10,12,2022-05-10T16:30:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,396.88,396.39,0.026178610306744857,0.0021669018343076336,0.0012346301148962132,0.04716178973710127,0.17228490536614424,0.1121148477989311,0.023862293144208034,0.9115187118263482,-0.020025216939850266,141.43,141.21,0.024183096416598833,0.0025454288340522775,0.0015555398430318805,0.06432343552020024,0.20758926917883141,0.11036304132625427,0.028349274065918972,1.1722764354717021,-0.024321149727077884
2022-05-10,13,2022-05-10T16:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,396.39,396.33,0.026178610306744857,0.003960745730215175,0.00015136607886173282,0.005782051724217527,0.205262836209714,0.09099595229141964,0.024010047281323877,0.9171627905373474,-0.02017355188014547,141.21,141.16,0.024183096416598833,0.0038949082926139178,0.0003540825720558839,0.01464173842572319,0.21084103333036566,0.1074395660421424,0.028693318654097678,1.186503091241993,-0.024666620603883027
2022-05-10,14,2022-05-10T17:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,396.33,395.95,0.026178610306744857,0.0017914364292382094,0.0009587969621275086,0.036625204733670556,0.19565569897197665,0.07870408373934074,0.024945823483057517,0.9529086223736745,-0.021113006502014975,141.16,141.045,0.024183096416598833,0.0021252479455935317,0.000814678379144298,0.03368792668688687,0.20798632997988775,0.0925446779148109,0.029484621206908587,1.2192243995136571,-0.025461203620534834
2022-05-10,15,2022-05-10T17:15:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,395.95,397.13,0.026178610306744857,0.0008081828513701053,0,0,0.23153908149639876,0.12868033562044914,0.022039992119779327,0.8419084077240255,-0.018195752676209542,141.045,141.42,0.024183096416598833,0.0008862419795100855,0,0,0.26330256740876007,0.13256656851037082,0.026904286795568874,1.1125244812364998,-0.022870172044496706
2022-05-11,18,2022-05-11T18:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,394.63,393.52,0.026267971144331173,0.0034969465068545105,0.002812761320730846,0.10707950398132902,0.16303095651211133,0.1710113205575153,0.02603702603702613,0.9912081102101072,-0.011430150476047007,141.49,141.14,0.024854722279162036,0.0031804367799845713,0.0024736730510991783,0.09952527424428646,0.16208401805497638,0.16962874461953886,0.02574722164699398,1.035908643750174,-0.009474349077128408
2022-05-11,25,2022-05-11T19:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,394.69,393.37,0.026267971144331173,0.00405381438597386,0.0033443968684283695,0.12731843087737346,0.20544564982485877,0.28162196977446063,0.026408276408276445,1.0053413056978917,-0.01180696862360886,141.64,141.05,0.024854722279162036,0.004730302174526882,0.004165489974583275,0.16759350306945825,0.23292656358806854,0.29440118806699184,0.02636846828190787,1.0609037584787235,-0.010105972348936731
2022-05-12,21,2022-05-12T18:45:00.000Z,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,386.96,385.62,0.02698239517175315,0.004664564812900576,0.0034628902212114304,0.1283388742611182,0.19298718778818175,0.14916142811090757,0.02572006063668521,0.9532163647062204,-0.00963094229139383,139.4999,139.07,0.025590086289108235,0.00422867686643503,0.0030817226392277236,0.12042642625005058,0.1904860894394849,0.15133288005123188,0.02235500878734627,0.8735808287157323,-0.0066428571428571725
2022-05-12,22,2022-05-12T19:00:00.000Z,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,385.62,385.7349,0.02698239517175315,0.0012188164514289385,0,0,0.12686268020987396,0.13690753555086962,0.025429762506316397,0.9424575670338509,-0.009335850219585495,139.07,139.04,0.025590086289108235,0.0013662184511396976,0.00021571870281154195,0.00842977629596181,0.12355242124448014,0.12961023037903815,0.022565905096660864,0.8818221572885224,-0.006857142857142895
2022-05-18,17,2022-05-18T17:45:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,394.3699,393.655,0.024940414910875043,0.0022565109558309463,0.001812765122287477,0.07268383981443056,0.14843811180454208,0.2931482975178096,0.02512382367508677,1.0073538778270987,-0.02439900867410172,142.27,142.02,0.023580349472929692,0.002319533281788237,0.0017572221831728403,0.07452061663420792,0.15202205793378143,0.2827949769592141,0.02452091489800119,1.0398876796186276,-0.02431986809563058
2022-05-18,18,2022-05-18T18:00:00.000Z,ELEVATED,ELEVATED,HIGH,ELEVATED,ELEVATED,HIGH,393.655,393.01,0.024940414910875043,0.003035653046449285,0.0016384905564516693,0.06569620282207976,0.13801295321538262,0.27142132791451,0.026721149083704855,1.0713995408333539,-0.025997521685254044,142.02,141.7072,0.023580349472929692,0.003098155189409926,0.0022025066891987743,0.09340432768934397,0.13138716171134857,0.27437393340670674,0.02666941410811184,1.1310016477375961,-0.02646881011266833
